reference,generated
இங்கச ர்ந்தமழப கப்படம எடத்தப்பதமக்கயம் இல்லய,இங்கச ர்ந்தமழப கப்படம் எடத்தப்பதமக்கயம் இல்லய
ஆண்ட உனக்கபதத இல்ல ஆனல்நீ இம்மறகற்றஞ்சட்டப்பட்டவரன்பக்கம்,ஆண்ட உனக்கபதத இல்ல ஆனல்நீ இம்மறகற்றஞ்சட்டப்பட்டவரன்பக்கம்
பர்களம்தயர் எல்லரம்தய ர் கபத்தல்கந்தளக்கம்,பர்களம்தயர் எல்லரம்தய ர் கபத்தல்கந்தளக்கம்
அவர் எங்களடன்பணயற்றத்தடங்கம்பதஅவர்கள்சய்வர்கள்,அவர் எங்களடன்பணயற்றத்தடங்கம்பதஅவர்கள்சய்வர்கள்
நான் நாளை ஒரு சிகிச்சை வேண்டும் நீங்கள் அதை செய்ய முடியும்,நான் நாளை ஒரு சிகிச்சை வேண்டும் நீங்கள் அதை செய்ய முடியும்
நன்உங்கள்தய்க்கஅளத்த வக்கறத யநறவற்றமயற்ச க்கறன்,நன்உங்கள்தய்க்க அளத்த வக்கறத யநறவற்றமயற்ச க்கறன்
மன்னள் மறயஎஸ்ச னட்உற ப்பனர் மற்றம்பனப்பர்பரள,மன்னள் மறயஎஸ்ச னட்உற ப்பனர் மற்றம்பனப்பர்பரள
தலஆறவக்கறதக்ககசரயனப்ப ய் பர்ப்பமஞபகம்இரக்க,தலஆறவக்கறதக்ககசரயனப்பய் பர்ப்பமஞபகம்இரக்க
கறந்தபட்சம்நன்மடந்ததஎன்றசந்த ஷமகஇர க்கம் ஒரவரன்பட்டனநணயநத யம்,கறந்தபட்சம்நன்மடந்ததஎன்றசந்த ஷமகஇர க்கம் ஒரவரன்பட்டனநணயநத யம்
நீங்கள்தன்அந்தமர ந்த எழதக்கண்டரப்பீர்கள்எனநனக்கறன்,நீங்கள்தன்அந்தமரந்த எழுதக்கண்டரப்பீர்கள்எனநனக்கறன்
அவங்க அம்மவக்கடக்கட்எடக்க வரசயல்நக்கறன்னவரம்பற,அவங்க அம்மவக்கடக்கட்எடக்க வரசயல்நக்கறன்னவரம்பற
தன்கட ம்பத்தற்கத்தரம்பப்பக வரம்பவதகஎன்ன டம்சன்னள்,தன்கட ம்பத்தற்கத்தரம்பப்பக வரம்பவதகஎன்ன டம்சன்னள்
நன்ப ந்தயநனவ ல் ஆனல்நன்மன்மறந்தவட்டன்வ ளம்பரங்களபர்க்கவரம்பகறர் ஏன னல்வளம்பரங்கள்கறகயவ,நன்ப ந்தயநனவ ல் ஆனல்நன்மன்மறந்தவட்டன்வ ளம்பரங்களபர்க்கவரம்பகறர் ஏன னல்வளம்பரங்கள்கறகயவ
உங்களக்கஎன்னமசம னநல நீங்க சல்லநன்கட்க இல்லதத,உங்களக்கஎன்னமசம னநல நீங்க சல்லநன்கட்க இல்லதத
உனக்கஏற்கனவநறய நண்பர்கள்இரக்கற ர்கள்என்பதசறப்பனவஷயம்,உனக்கஏற்கனவநறய நண்பர்கள் இரக்கற ர்கள்என்பதசறப்பனவஷயம்
ஏனன்றல்நம்பசவத பசவத பச வதஎன்றஎத யம்சய்வதல்ல,ஏனன்றல்நம்பசவத பசவத பச வதஎன்றஎத யம்சய்வதல்ல
அவங்கள வலயசய்யஅனப்ப ட்ட மச்சத்தநீ மட ச்சட,அவங்கள் வலயசய்யஅனப்ப ட்ட மச்சத்தநீ மடச்சட
தரம்பத்தரம்பஅவர்கள்இதய சய்கறர்கள் ஏனன ல்அநகவள்ளயர்கள்,தரம்பத்தரம்பஅவர்கள்இதய சய்கறர்கள் ஏனன ல் அநகவள்ளயர்கள்
களங்கள் நம்கட்ச வர்த்தகத்தத்ஒரவதயக்க ண்ட ரக்கவல்ல,களங்கள் நம்கட்ச வர்த்தகத்தத்ஒரவதயக்க ண்ட ரக்கவல்ல
சலந மடங்களக்கமன் மரனவன் இளயக ழந்தயன்உடல் கண்ட படக்கப்பட்டத,சலந மடங்களக்கமன் மரனவன் இளயக ழந்தயன்உடல் கண்ட படக்கப்பட்டத
உன்னடயபத வலயல் சர்வதற்கமன்னல்உல்லசமகஇரக்க,உன்னடயபத வலயல் சர்வதற்கமன்னல்உல்லசமகஇரக்க
வறஞ பகத்தக்கவந்ததயல்லம் அந்த கவர்ல வச்சரக்கன்,வறஞ பகத்தக்கவந்ததயல்லம் அந்த கவர்ல வச்சரக்கன்
ஆனல்அந்தநள க்கப்பன் ய ரக்கம் டட்டவக்கஇடஞ்சல்கடக்கத ணவல்ல,ஆனல்அந்தநள க்கப்பன் ய ரக்கம் டட்டவக்கஇடஞ்சல்கடக்கத ணவல்ல
என் அம்மவன்தங்கஎன்ன டய அத்தயன்கணவரக்கஏதசன்னர்,என் அம்மவன்தங்கஎன்ன டய அத்தயன்கணவரக்கஏதசன்னர்
இவர் கற்றவளஇல்லஎன்ற பரந்தரயஎனக்கஅளக்கவ ண்டம்,இவர் கற்றவளஇல்லஎன்ற பரந்தரயஎனக்க அளக்கவ ண்டம்
நீங்கள் களீவ்ஸ்ம ல்ஸ்பல ஸதடர்ப கண்டதல மஅதகர ரச்சர்ட்ஸடம்,நீங்கள் களீவ்ஸ்ம ல்ஸ்பல ஸதடர்ப கண்டதல மஅதகர ரச்சர்ட்ஸடம்
ஏய் தழர்கள உங்களக்கஒரபனம்எடத்தக்கள்ளங்கள் நங்கள்பன்னர்படக்கறம் சர,ஏய் தழர்கள உங்களக்காரபனம் எடத்தக்கள்ளங்கள் நங்கள்பன்னர்படக்கறம் சர
கடவக்கறயீட்டஉள்ள டவம் மகஐடக்கமலஸ்வப்சய்யவம்,கடவக்கறயீட்டஉள்ள டவம் மகஐடக்கமலஸ்வப்சய்யவம்
நன்த ன்சர யன் என்னச ற்றதன் எட்ட கள்கள ம்உள்ளன,நன்த ன்சர யன் என்னச ற்றதன் எட்ட கள்கள ம்உள்ளன
நன்ஒரவரத்தல்பறக்கண க்கப்பட்டன் இங்கம்அங்கம்,நன்ஓரவரத்தல்பறக்கண க்கப்பட்டன் இங்கம்அங்கம்
ஏய் மதலளபல் மற்ற ரமரத்தவர் கணமல்பனதமரத்த வமனயல்இரந்த,ஏய் மதலளபல் மற்ற ரமரத்தவர் கணமல்பனதமரத்த வமனயல்இரந்த
நீங்கள் சமகத்தற்கஒரஉதவசய்வீர்களஎன்றஆச்சரயப்படவக்கறத,நீங்கள் சமகத்தற்காரஉதவசய்வீர்களஎன்றஆச்சரயப்படவக்கறத
