reference,generated
இங்கச ர்ந்தமழப கப்படம எடத்தப்பதமக்கயம் இல்லய,ங்கச ர்ந்தமழப கப்படம எடத்தப்பதமக்கயம் இல்லய
ஆண்ட உனக்கபதத இல்ல ஆனல்நீ இம்மறகற்றஞ்சட்டப்பட்டவரன்பக்கம்,ஆண்ட உனக்கபதத இல்ல ஆனல்நீ
பர்களம்தயர் எல்லரம்தய ர் கபத்தல்கந்தளக்கம்,பர்களம்தயர் எல்லரம்தயர் கபத்தல்கந்தளக்கம்
அவர் எங்களடன்பணயற்றத்தடங்கம்பதஅவர்கள்சய்வர்கள்,அவர் எங்களடன்பணயற்றத்தடங்கம்பதஅவர்கள்சய்வர்கள்
நான் நாளை ஒரு சிகிச்சை வேண்டும் நீங்கள் அதை செய்ய முடியும்,நான் நாளை ஒரு சிகிச்சை வேண்டும் நீங்கள் அதை செய்ய முடியும்
நன்உங்கள்தய்க்கஅளத்த வக்கறத யநறவற்றமயற்ச க்கறன்,நன்உங்கள்தய்க்கஅளத்த வக்கறத யநறவற்றமயற்சக்கறன்
மன்னள் மறயஎஸ்ச னட்உற ப்பனர் மற்றம்பனப்பர்பரள,மன்னள் மறயஎஸ்ச னட்உற ப்பனர் மற்றம்பனப்பர்பரள
தலஆறவக்கறதக்ககசரயனப்ப ய் பர்ப்பமஞபகம்இரக்க,தலஆறவக்கறதக்ககசரயனப்பய் பர்ப்பமஞபகம்இரக்க
கறந்தபட்சம்நன்மடந்ததஎன்றசந்த ஷமகஇர க்கம் ஒரவரன்பட்டனநணயநத யம்,கறந்தபட்சம்நன்மடந்ததஎன்றசந்த ஷமகஇரக்கம் ஒரவரன்பட்டனநணயநத யம்
நீங்கள்தன்அந்தமர ந்த எழதக்கண்டரப்பீர்கள்எனநனக்கறன்,நீங்கள்தன்அந்தமரந்த எழதக்கண்டரப்பீர்கள்எனநனக்கறன்
அவங்க அம்மவக்கடக்கட்எடக்க வரசயல்நக்கறன்னவரம்பற,அவங்க அம்மவக்கடக்கட்எடக்க வரசயல்நக்கறன்னவரம்பற
தன்கட ம்பத்தற்கத்தரம்பப்பக வரம்பவதகஎன்ன டம்சன்னள்,தன்கடம்பத்தற்கத்தரம்பப்பக வரம்பவதகஎன்னடம்சன்னள்
நன்ப ந்தயநனவ ல் ஆனல்நன்மன்மறந்தவட்டன்வ ளம்பரங்களபர்க்கவரம்பகறர் ஏன னல்வளம்பரங்கள்கறகயவ,நன்பந்தயநனவல் ஆனல்நன்மன்மறந்தவட்டன்வ ளம்பரங்களபர்க்கவரம்பகறர் ஏன னல்வளம்பரங்கள்கறகயவ
