reference,generated
ඔහු සතුව තිබී හෙරොයින් කිලෝග්රෑම් 1ක් සොයා ගත් අතර ඔහු,ඔහු සනුව තිබී හෙරොයින්‌ කිලෝග්රෑම්‌ 1ක්‌ සොයා ගන්‌ අනර ඔහු
"මේ තරම් මහන්සි වෙලා, ලස්සන අත්දැකීමක් අපිටත් ලගා කරලා දුන්නට දිනේශ් අයියට අනේක වාරයක්","මේ තරම්‌ මහන්සි වෙලා, ලස්සන අත්දැකීමක්‌ අපිටත්‌ ලගා කරලා දුන්නට දිනේශ්‌ අයියට අනේක වාරයක්‌"
සාමාන්යයෙන් කාර් බැටරියකින් මාස දෙකක් පමණ රේඩියෝව අහන්න පුළුවන්. හැබැයි,සාමාන්යයෙන්‌ කාර්‌ බැටරියකින්‌ මාස දෙකක්‌ පමණ රේඩියෝව අහන්න පුළුවන්‌. හැබැයි
ජනාධිපති මහින්ද රාජපක්ෂට තම වසර 4 ක නිල කාලය සම්පුර්ණ වු විට මැතිවරණයක්,ජනාධිපති මහින්ද රාජපක්ෂට තම වසර 4 ක නිල කාලය සම්පුර්ණ වු විට මැතිවරණයක්‌
"කාර්යාලීය ඇඳුම්, හවස්වරුවේ සාද සඳහා ඇදුම්, ලිනන් හා ඩෙනිම් ඇඳුම්, යට ඇඳුම් පරාසයක් පවතින අතර අවශ්ය","ය]1[1(81[:)8 £1/1(26), (1)£)(3£)(1/:1ව] 316 (3[201]] £1/(6), [9121 1] 16116) £:/1:26]), [5[] £1/[26) £1[1105[51] (1:11) 61511 £1)(14(5"
නිවනට යන්න තෘශ්ණාවක් ඕනේ ඒක කුසලමූල තන්හාව.. ඒක අනාස්‍රව එකක් ඇසුරු කල,නුවනට යන්න ඞෘ0%වාවක්‌ ඕනේ ඒ කූසලමූල නන්ඩාව.. ඒ අනාසුව එඛක්‌ ඇසුරු කල
", 4 , , , , . 0772104663, 0112845449 කොට්ටාව කාමර 4ක, ව.අ. 2500කට වැඩි, ටයිල් කළ සියලූ",", 4 , , , , . 0772104603, 0112849410 කොට්ටාව කාමර 4ක, ව.අ. 2500කට වැඩි, ටයිලි කළි සියලු"
"බුදු සරණයි පුතේ.... ක්ෂුද්‍ර ජීවී විද්‍යාව පිලිබදව පුතාට අනාගත බලාපොරොත්තු තියෙන නිසාත්,","බුදු සරණයි පුතේ.... ක්ෂුද්‍ර රීවී විද්‍යාව පිලිබදව පුතාට අනාගත බලාපොරොත්තු තියෙන නිසාත්‌,"
හරීන්ද්‍ර මම කැමැති චරිතයක්. ඔබට සැප හා ජය. සචිනි ගැන මම එක එක දේවල්,හරීන්ද්‍ර මම කැමැති චරිතයක්‌. ඔබට සැප හා ජය. සචිනි ගැන මම එක එක දේවල්‌
මාධ්ය නිදහස නැ කියලා බෙරිහන් දෙන මහින්ද ප්රමුක පොහොට්ටුව බලය නොමැතිවම මාධ්ය,මාධිය නිදහස නැ කියලා බෙරිහන්‌ දෙන මහින්ද ප්රමුක පොහොට්ටුව බලය නොමැතිවම මාධ්ය
"(පින් කරපං මෙ කමෙන්ට් එක) අනේ හුත්තො ,ඉංගලන්තෙ රැජින උන්ට රැජිනක් උනාට අපිට එහෙම නැ","(පින්‌ කරපං මෙ කමෙන්ටි එක) අනේ හුත්තො ,ඉංගලන්‌තෙ රැජින උන්ට රැරිනක්‌ උනාට අපිට එහෙම නැ"
